gid,ply,spend
JwFm1KKX,44,20.0
viQa9u7a,38,27.0
cc120862976508,38,9.7
TPcll9OO,46,9.0
BXGZNwxV,40,12.0
cc121043364578,46,10.7
xX0WFPQO,34,21.0
V1B3lCCT,36,24.0
6R8OBgfV,30,20.0
umozeNwA,29,14.0
yupjuMwt,29,14.0
NAPVIV30,40,10.0
JQDq2Fyo,41,20.0
OE1gyw3E,40,28.0
PbFbms0k,37,8.0
zizRMmyL,49,10.0
UrmzZ37d,28,12.0
55CgqvQO,25,16.0
cc166196783252,42,35.0
hnqPXak2,33,8.0
HQgV83IQ,36,11.0
7Nm8NOgV,37,9.0
0e8drj4A,41,11.0
KUYIENjH,26,8.0
riYcyEu2,29,13.0
h9r1QB7B,26,14.0
5mdASwa4,34,13.0
bv9vAyW3,51,38.0
cc121233735128,28,8.1
0hWvNObN,49,12.0
ZIiEKrCY,34,12.0
TN9YFFrJ,30,18.0
LTxNQ13l,32,18.0
cc120908873064,28,14.0
Qp9nWua4,63,21.0
WMQNWare,26,15.0
WUZnI0YY,49,13.0
ISm6vmTR,26,8.0
DKT7G99J,29,18.0
91Fq3Ywc,25,15.0
lH5piLQK,37,44.0
9E3OI3ge,30,29.0
DfsB0fLS,31,8.0
cA2oTuZe,52,9.0
it1MRjEt,30,11.0
1dSD0Rtc,34,8.0
cc120090854540,58,11.9
Qp9nWua4,55,10.0
x4XHuaun,25,21.0
cc121233028950,29,8.4
IhBzO5r9,41,11.0
cc166438620280,52,12.1
KUYIENjH,30,16.0
WFlKNpfB,38,22.0
cc120082768834,64,8.4
cc121233610264,49,15.8
DrQ8aRNG,43,10.0
s4YN2ETT,49,28.0
KQMZZA6I,37,12.0
lzy6JKgS,39,8.0
NnKZm5jo,55,18.0
lcOUgTOg,27,18.0
4EMfVjCF,32,12.0
azNiBcPq,46,24.0
EvThHrXF,28,9.0
gQB5X18e,26,17.0
azDYkBvq,31,13.0
6zSscACx,29,19.0
JLN0Jv5W,28,13.0
cc120242369612,27,29.4
cc121233610264,45,17.0
0428jwO2,28,9.0
cc120966419308,31,10.8
QMTTIZzN,46,17.0
DqqPmrBe,58,14.0
f0eMI7zW,34,8.0
fKYolrEC,35,13.0
RpG6M6ji,29,23.0
1SLWTKoL,50,10.0
lK30gafY,40,10.0
sGkNYSpY,32,15.0
2ONaZyLR,30,8.0
cc119700534512,31,30.6
gRFU1q6F,42,25.0
1MnWfK85,52,9.0
Y6rrUbqi,25,10.0
SvjWW3pQ,27,15.0
kAemOaPl,42,8.0
cc119701061080,25,12.2
2zByDL3b,55,8.0
vlOUQL9S,28,8.0
CagedvSV,32,12.0
cc121427881370,34,21.9
cc165170807018,41,16.5
m3yUUA9x,45,12.0
cc119708051268,33,8.2
yjs9dLDw,35,11.0
cc120966419308,33,14.1
kyIxDCZE,42,14.0
s7qk91IL,44,10.0
cc119489482008,29,21.0
cc119890730332,50,22.7
77PiUZpp,25,9.0
uqG2vnDa,45,18.0
iZZ4h0u7,40,10.0
cc165170807018,37,14.2
cgeLgb2K,52,10.0
cc120696318512,41,16.8
cc121350665000,43,8.9
f09z08IC,60,9.0
l2qATrFD,39,23.0
X0iw4sAR,32,27.0
MbP0klvK,56,8.0
cc119972817536,28,9.8
vTEM84jV,28,32.0
gQB5X18e,38,10.0
7A7rAMwa,26,21.0
bhhhRl8s,26,24.0
MQKO1yYa,25,10.0
bS8FVsY3,47,13.0
6R8OBgfV,46,10.0
gQB5X18e,36,12.0
WwzoefOV,29,14.0
mP42Eigu,37,13.0
2lRXmTP9,25,12.0
pU2yuXNX,34,8.0
hCpjowiX,51,12.0
fzBhk7iJ,52,14.0
RgGzynnk,32,19.0
1LYRncgs,27,18.0
cc120103834800,30,26.9
P8RDuDkG,35,29.0
oOaV9ZQk,35,8.0
ELFKmR3r,48,12.0
oeSyrxdV,39,13.0
islyexXZ,60,20.0
iyQBn7Va,51,10.0
Jm2k6rA5,25,10.0
j5M35riZ,40,9.0
bkP1rhaT,43,12.0
EpYu8sQy,51,11.0
paaKg7HX,35,14.0
VHBoHYRm,54,11.0
A9G06InN,36,8.0
cc121084128088,32,22.6
VBniLek2,33,11.0
CzCdwz0v,50,24.0
ETeauuXn,30,9.0
mXCU1EMc,31,9.0
HtkGeUri,36,8.0
Ca6jY4Tb,58,9.0
dBoH8PAU,26,25.0
1hNpZmgW,42,14.0
tefhyBwX,33,11.0
2p5WmXOu,27,8.0
eisXBfUf,34,8.0
GUsVES2R,44,15.0
cSzR1D0Q,51,8.0
Kid2e4YP,40,9.0
1HXb0gGC,44,11.0
fhmnBsNB,52,8.0
eWt21HZq,57,21.0
J1I4huXJ,43,16.0
7DG8eF6i,35,11.0
YGkJlW3k,49,8.0
FqCgbeKd,29,10.0
R61Mcp9p,46,8.0
g5nCgpNT,35,17.0
W7hxIz82,50,13.0
umv458LL,29,14.0
Y6pbDqNx,60,10.0
cc165949836692,29,9.9
pqdLECGG,33,10.0
cc121220880436,45,37.3
JQlXucSF,32,12.0
tKqdUSQ4,37,13.0
y5kyRidv,38,15.0
0bzS6mZg,28,14.0
DOjlhhMA,53,10.0
cO9eQsyR,31,9.0
YjmC1JyT,44,14.0
cc165518725982,28,14.6
JzzmyFvH,28,8.0
3QfzaSdG,32,9.0
fVQvx7T8,31,11.0
8SKEXCVc,53,28.0
cc119841504498,37,24.4
GqMDFzKY,34,29.0
yL3RYm70,44,18.0
6JDR0Tsn,50,13.0
ee2H3Vc5,37,11.0
aGrT9Zfx,29,12.0
7LGINO03,27,11.0
36hQrFTC,25,8.0
4I733PYE,27,10.0
YZ8rvPkw,62,9.0
Fjdswl53,35,15.0
MfnaNN7K,28,9.0
FQL4y2u1,32,11.0
g5nCgpNT,25,11.0
BxEUEFfR,44,21.0
aeWampLL,43,8.0
MTusWXUN,42,10.0
cc120756018700,32,10.2
qLH6AIHd,26,9.0
I7EDFjNa,39,17.0
7ejnSJvu,35,9.0
cc120711443006,31,16.0
eudxw2u6,38,8.0
dVMdZqXu,28,17.0
0sx61uqE,49,9.0
qRFLB7Qo,48,13.0
0AehrFHo,35,8.0
qbmEBNPC,31,11.0
2aEDYQOc,25,30.0
YGkJlW3k,39,9.0
YGkJlW3k,35,12.0
rD7tIIrN,61,10.0
Sy67F9WW,32,22.0
MxLeQUOt,37,21.0
FXHOxB4b,45,10.0
HgqNgcvy,38,9.0
ykkHvhQp,32,33.0
cc121280573596,27,14.3
G3HOibKx,37,10.0
qPtrjpU4,29,17.0
CzCdwz0v,30,12.0
SpIFLgD3,26,8.0
zBp94nnI,29,13.0
pxzHtDDt,41,9.0
KM3SEsiH,37,11.0
1BD24Pof,40,12.0
dpnWJ5nQ,35,18.0
s7qk91IL,48,10.0
cc120220865164,28,8.0
cc119681244998,40,14.2
0YOCzJlN,28,8.0
66eKJY0a,33,12.0
SXDJl95I,43,31.0
ZIiEKrCY,38,8.0
CLgIlH5p,37,14.0
0Wm6pRLq,36,8.0
4fH1UW2G,29,12.0
cc120005116350,40,8.9
cc120696709236,31,25.2
cc119994718678,27,23.9
wpEPrpyu,25,37.0
cc121274946540,31,8.1
oRP23bHO,33,11.0
bkP1rhaT,35,11.0
TtQhjliF,43,12.0
JJyMpVhG,40,9.0
JeQUxwnk,40,8.0
qzckhpI4,45,22.0
zBkftfs5,30,24.0
znPCXCzV,41,8.0
cc165867813158,38,32.1
gRFU1q6F,34,8.0
9KpcZcl3,39,10.0
oLn1t5tj,39,17.0
TN9YFFrJ,42,14.0
cc121428017132,29,9.6
wuU0nrG8,28,15.0
uirooaSo,37,12.0
cc120812453264,38,10.5
JqK9NO9R,53,10.0
UlL9N40C,26,9.0
ugfhOeoe,52,8.0
etnieKz7,45,13.0
H6jUZQXa,72,32.0
BQTPQnJd,26,42.0
GKag7vkX,38,10.0
PrKi2uoK,42,11.0
cc119551757802,50,28.8
qRFLB7Qo,46,18.0
CxxmdCW2,33,11.0
lUjKz1VZ,38,19.0
cc119532701824,26,24.8
5OOUxSX7,38,27.0
qWwFkvek,35,8.0
DdywCPXM,34,11.0
5V1vviGJ,27,14.0
JWSpDMfm,41,15.0
0bzS6mZg,30,16.0
cc119483390684,34,11.9
uWrWdDlD,56,44.0
cc121216511548,30,12.8
N0Ykmvfs,45,11.0
cc119479484244,31,24.2
FBVOIPbY,30,23.0
wLBffkSY,29,24.0
H3NoySKQ,42,25.0
uTOSKm7k,41,24.0
3HQTDOyP,33,8.0
TusZ3Mya,28,12.0
4fd8zqqA,33,28.0
fHPMYTvN,32,9.0
cc165164546264,49,9.5
cc121025321882,46,10.1
sG32ubVS,37,9.0
AXT3HB2J,43,13.0
mepwVM0k,31,14.0
ves77YMV,47,11.0
cc119746001332,32,9.5
5XK4G0ki,40,16.0
mtLie8ny,33,13.0
96NLrren,36,13.0
cc166386989272,27,11.4
dxKP4AWS,36,13.0
StjG9GbD,28,22.0
v4Zxx2zN,27,8.0
eIRUfZys,31,18.0
cc119707364982,30,47.0
TnRyrSFW,25,15.0
GugYbzmi,32,11.0
cc119841504498,49,14.8
pSN32CtY,31,13.0
Di5HLWKO,37,8.0
vvoJl3Ii,35,13.0
cnvoBy1r,43,15.0
a3fQBceq,31,17.0
qlBNNe7W,42,11.0
cc120910088366,42,8.3
AXdUNjsI,40,10.0
4GzmbQdd,36,18.0
JqK9NO9R,37,10.0
cc120836468660,52,14.8
2WBnoRZj,45,8.0
N0FHrKxA,28,21.0
9Kxq7JlN,35,12.0
BOSgzsbj,46,36.0
umVGKos7,61,13.0
sUdxxSM6,39,15.0
6r340LVx,39,28.0
lSbMvwjM,46,23.0
HmWDWZia,27,10.0
kvx0Tmpm,27,12.0
